,AID,channel_width,Name,geometry
0,0,450,H012,POINT (94.87571200000001 27.655957)
1,1,1520,H003,POINT (95.43330400000002 27.975969)
2,2,2300,H004,POINT (95.570594 28.219053)
3,3,288,2 Avulsion 11,POINT (-72.29510399999999 5.372853)
4,4,220,A013,POINT (-70.12403337704302 8.963794999239902)
5,5,154,H019,POINT (84.309828 27.26102)
6,6,340,H018,POINT (84.069968 27.295234)
7,7,370,AvulsionThroughScrollBars,POINT (-64.25031015759552 -23.07879115759379)
8,8,60,5Avulsion 1,POINT (-59.649613 -29.667931)
9,9,860,3Avulsion 1,POINT (-77.436576 -4.500145)
10,10,226,3Avulsion 6,POINT (-64.05165700000001 -16.958462)
11,11,73,3Avulsion 22,POINT (-64.13574 -17.415506)
12,12,110,A031,POINT (-76.61255 0.792347)
13,13,62,3 Avulsion 26,POINT (-71.19923300000001 -12.552016)
14,14,71,StillPrograding,POINT (-65.400132 -16.823073)
15,15,163,3Avulsion 29,POINT (-65.215208 -16.477071)
16,16,256,3Avulsion 38,POINT (-65.30356500000001 -17.003969)
17,17,43,4 Avulsion 4,POINT (-64.29953999999999 -25.139159)
18,18,84,4 Avulsion 8,POINT (-65.340209 -16.941657)
19,19,67,StillPrograding,POINT (-63.843172 -24.388406)
20,20,500,A003,POINT (-73.440415 3.988824)
21,21,267,A007,POINT (-72.439932 5.238814)
22,22,177,A040,POINT (-63.81749700000001 -24.367017)
23,23,4400,H001,POINT (87.010904 26.595521)
24,24,3227,H002,POINT (95.43902500000002 28.023918)
25,25,5364,H005,POINT (95.667153 28.114418)
26,26,182,H006,POINT (96.71363999999998 26.492448)
27,27,483,H007,POINT (88.930852 26.827383)
28,28,338,H027,POINT (88.946624 26.84231000000001)
29,29,543,H008,POINT (89.416375 26.816374)
30,30,542,H026,POINT (89.413113 26.804784)
31,31,1250,H009,POINT (94.24776900000001 27.420823)
32,32,665,H010,POINT (94.02147599999999 27.295428)
33,33,187,H011,POINT (89.758557 26.718665)
34,34,850,H013,POINT (94.87601800122393 27.63382545986593)
35,35,230,A001,POINT (-73.548481 3.742741)
36,36,127,A002,POINT (-73.760808 4.04506)
37,37,475,A004,POINT (-73.394282 3.976931)
38,38,255,A005,POINT (-73.348488 4.563016)
39,39,250,A006,POINT (-72.54461999999999 5.151267)
40,40,485,A009,POINT (-71.932945 7.225122)
41,41,315,A052,POINT (-72.07028911154457 7.555671093966049)
42,42,104,A047,POINT (-72.06210915420721 7.556388586451696)
43,43,125,A012,POINT (-68.553634 7.412282)
44,44,630,A014,POINT (-72.033355 7.034129)
45,45,112,A015,POINT (-71.967189 7.083628999999999)
46,46,70,A017,POINT (-71.88199400000001 7.067745)
47,47,445,A018,POINT (-73.83408799999999 3.761262)
48,48,105,A020,POINT (-71.371932 7.173768)
49,49,140,A022,POINT (-66.36144899999999 -15.871017)
50,50,64,A023,POINT (-66.35058363780146 -15.7950392240187)
51,51,50,A024,POINT (-66.15755799999999 -16.066672)
52,52,100,A025,POINT (-65.85251100000001 -15.884095)
53,53,640,A026,POINT (-64.86381 -17.213462)
54,54,326,A027,POINT (-64.216464 -17.370944)
55,55,54,A028,POINT (-64.13468302837751 -17.423626)
56,56,94,A030,POINT (-64.226761 -17.35972)
57,57,250,A035,POINT (-65.20409965314671 -16.27278097389918)
58,58,100,A037,POINT (-64.613051 -17.313891)
59,59,1690,A016,POINT (-71.925284 7.00659)
60,60,35,A042,POINT (-65.33317099999999 -16.955322)
61,61,364,A044,POINT (-64.31905 -23.077795)
62,62,608,H028,POINT (86.149451 26.75098300000001)
63,63,90,H015,POINT (86.045664 26.913578)
64,64,686,H016,POINT (85.870797 26.94904970245288)
65,65,160,H017,POINT (85.841556 26.966481)
66,66,105,H020,POINT (84.39814 27.29296)
67,67,52,H021,POINT (84.49315300000001 27.305893)
68,68,505,H022,POINT (77.735697 30.22955)
69,69,140,H025,POINT (77.70944900000001 30.184795)
70,70,140,H023,POINT (86.52111499999999 26.358486)
71,71,311,H024,POINT (78.886189 29.384113)
72,72,510,A045,POINT (-62.99381 -17.074329)
73,73,258,A050,POINT (-64.20175680958621 -17.3124109483603)
74,74,227,A049,POINT (-62.998805 -16.969214)
75,75,78,H029,POINT (78.608233 29.27333)
76,76,148,H030,POINT (84.43885299999999 27.305564)
77,77,185,H031,POINT (84.451238 27.300408)
78,78,131,A051,POINT (-72.07442958923751 7.557722036174425)
79,79,177,A048,POINT (-65.83687014609092 -16.32205928829021)